DlangUI log file
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(Serif,Constantia)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.844 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Corbel Light)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Courier New)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Ebrima)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Ebrima)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Ebrima)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Ebrima)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Franklin Gothic Medium)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(Fantasy,Gabriola)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Gadugi)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(Serif,Georgia)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Impact)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(Cursive,Ink Free)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Javanese Text)
